0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:24 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=5&action=getOne_For_Update HTTP/1.1" 200 25105
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:28 +0800] "GET /CGA105G7/back-end/images/JavaTime.png HTTP/1.1" 200 893677
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:35 +0800] "GET /CGA105G7/back-end/Location/loc.do?LOC_ID=5&action=getOne_For_Update HTTP/1.1" 200 25105
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:35 +0800] "GET /CGA105G7/back-end/css/back.css HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:35 +0800] "GET /CGA105G7/back-end/css/listAllLoc.css HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:36 +0800] "GET /CGA105G7/back-end/js/Loc.js HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [22/Jan/2023:00:54:36 +0800] "GET /CGA105G7/back-end/images/logo.png HTTP/1.1" 200 204378
